lsoa2011,total,White,Gypsy / Traveller / Irish Traveller,Mixed / Multiple ethnic group,Asian / Asian British: Indian,Asian / Asian British: Pakistani,Asian / Asian British: Bangladeshi,Asian / Asian British: Chinese,Asian / Asian British: Other Asian,Black / African / Caribbean / Black British,Other Ethnic Group
E01010821,2046,1762,5,90,9,25,0,18,13,117,7
E01010822,1412,1252,3,38,7,23,0,0,22,60,7
E01010615,1419,1094,0,71,32,136,1,3,28,22,32
E01010616,1859,816,1,79,51,685,11,1,52,125,38
E01010742,1988,431,8,77,60,1191,7,19,46,90,59
E01010743,1817,542,0,76,37,812,14,6,102,143,85
E01010847,1579,1344,0,48,19,121,11,0,18,15,3
E01010848,1504,1198,0,61,42,164,0,2,17,19,1
E01010852,1594,1031,0,51,49,363,18,5,17,49,11
E01010853,1325,976,0,55,37,145,0,0,19,32,61
E01010668,1356,902,1,21,72,314,1,3,11,24,7
E01010755,1673,1494,0,72,11,20,2,3,22,40,9
E01010762,1594,1088,0,69,53,291,10,3,24,22,34
E01010763,1531,1289,0,25,47,140,0,2,13,11,4
E01010846,2150,1778,1,82,69,94,3,3,24,55,41
E01010745,1657,842,3,72,52,497,54,23,27,71,16
E01010747,1614,958,7,77,73,369,8,25,20,50,27
E01010748,1507,1350,1,65,6,25,0,1,6,49,4
E01010749,1344,1241,0,50,5,17,1,0,8,16,6
E01010814,1652,1526,1,51,20,18,2,0,5,22,7
E01010815,2397,1785,4,110,111,170,5,19,27,102,64
E01010816,1873,1682,4,49,25,39,0,5,2,46,21
E01010817,2186,1830,1,66,44,75,4,14,10,109,33
E01010818,1856,1398,1,50,127,126,5,14,42,38,55
E01010752,1733,1573,0,39,57,38,0,4,10,11,1
E01010753,1437,1404,0,16,4,1,0,7,2,2,1
E01010754,1607,1536,0,29,11,21,0,0,4,6,0
E01010756,1478,1391,0,31,27,14,0,6,2,5,2
E01010758,1290,1235,0,14,11,7,0,7,2,7,7
E01010759,1565,1485,0,29,9,9,0,1,6,9,17
E01010760,1576,1552,0,12,3,0,0,2,1,3,3
E01010741,1487,1311,0,57,1,85,6,7,9,10,1
E01010845,2031,1769,0,93,31,35,9,2,3,76,13
E01010849,1429,1373,0,25,15,1,0,6,2,4,3
E01010850,1381,1276,1,44,14,3,0,0,6,35,2
E01010851,1585,1435,0,40,24,39,6,17,1,17,6
E01010864,1320,1208,1,49,8,19,0,6,7,18,4
E01010867,1468,1312,0,54,18,34,4,2,7,35,2
E01010874,1240,1166,0,44,0,12,1,0,2,14,1
E01010746,1628,1296,0,42,69,183,3,3,22,5,5
E01010750,1617,1497,0,27,18,41,0,5,3,20,6
E01010751,1509,1415,3,31,7,11,0,3,13,19,7
E01010865,1618,1542,0,30,12,12,0,4,8,6,4
E01010866,1379,1244,1,69,12,30,0,4,3,13,3
E01010868,1602,1412,3,76,12,32,1,8,5,44,9
E01010869,1694,1567,0,47,25,23,0,1,0,20,11
E01010870,1503,1443,1,25,14,4,1,0,2,8,5
E01010871,1686,1542,0,34,20,32,1,4,7,14,32
E01010872,1627,1519,0,35,4,20,1,5,7,34,2
E01010873,1224,1175,1,11,12,13,0,2,2,8,0
